;X
debt_law;Долговой закон;X
serfdom;Крепостное право;X
serfdom_l;Крепостное право;X
serfdom_desc;Крепостные привязаны к земле, подчиняются воле ее владельца и вынуждены работать на полях при феодальной системе.;X
movement_serfdom;Лига сторонников крепостничества;X
peonage;Батрачество;X
peonage_l;Батрачество;X
peonage_desc;Пеонаж - это долговая система, при которой должник вынужден отрабатывать свой долг. Это часто приводит к вечному циклу принудительного труда, называемому батрачеством.;X
movement_peonage;Кампания за отмену крепостного права;X
debtors_prisons;Тюрьмы должников;X
debtors_prisons_l;Тюрьмы должников;X
debtors_prisons_desc;Должники содержатся в тюрьме до тех пор, пока их долг не будет погашен.\n§R Конверсия всех групп населения незначительно замедлится.§W;X
movement_debtors_prisons;Движение за отмену батрачества;X
bankruptcy;Банкротство;X
bankruptcy_l;Банкротство;X
bankruptcy_desc;Должникам разрешается объявить о банкротстве и признать их предыдущие долги недействительными.;X
movement_bankruptcy;Движение за отмену тюрем должников;X
POP_CON_CLERGY;Священники;X
clergymen;Священники;X
promote_clergymen;Поддержка священников;X
land_attack_modifier;Атака сухопутных армий;X
BUDGET_TAX_RICH;Налоги (Богатые);X
BUDGET_TAX_MIDDLE;Налоги (Средние);X
BUDGET_TAX_POOR;Taxes (Бедные);X
fuel_refinery;Нефтеперерабатывающий завод;X
fuel_refinery_desc;Нефтеперерабатывающий завод - это промышленное предприятие, на котором сырая нефть перерабатывается в более полезные продукты, такие как нефтяная нафта, бензин, дизельное топливо, асфальтобетонная основа, топочный мазут, керосин и сжиженный нефтяной газ. На нефтеперерабатывающем заводе сырая нефть разделяется на фракции путем фракционной перегонки. Фракции в верхней части ректификационной колонны имеют более низкие температуры кипения, чем фракции в нижней части. Тяжелые донные фракции часто измельчаются в более легкие и полезные продукты. Все фракции подвергаются дальнейшей переработке на других установках рафинирования.;X
pharmaceuticals;Фармацевтика;X
pharmaceuticals_desc;Развитие медицины привело к разработке надлежащих фармацевтических препаратов, особенно тех, которые используют опиаты, в качестве метода лечения, заменяющего более традиционные методы.;X
pharmaceutical_plant;Фармацевтическая фабрика;X
pharmaceutical_plant_desc;Эта фабрика создает современные лекарства, синтезируя новые химические соединения из опия.;X
cigarettes;Сигареты;X
cigarette_factory;Сигаретная фабрика;X
cigarette_factory_desc;Эта фабрика заворачивает табачные листья в бумагу для изготовления сигарет.;X
tea_leaves;Чайные листья;X
tea_packaging_factory;Чае-упоковочная фабрика;X
tea_packaging_factory_desc;На этой фабрике сушат чайные листья и фасуют их в пакеты.;X
coffee_beans;Кофейные бобы;X
coffee_packaging_factory;Кофе-упаковочная фабрика;X
coffee_packaging_factory_desc;На этой фабрике измельчают кофейные зерна и фасуют их в банки.;X
revoke_the_homestead_act_title;Отменить закон о гомстедах;X
revoke_the_homestead_act_desc;Это устранит ограничения на миграцию на запад и иммиграцию в Хоумстед-провинцию из всех провинций и вновь позволит иммигрантам селиться на Востоке и юге Соединенных Штатов..;X
adding_cores;Национализация\n§WЕсли никто не оккупирует или она не сменит владельца 15 лет после добавления этого модификаторы, на неё будут добавлены нац. претензии, а нац. претензии других стран будут удалены.;X
zadd_cores_title;§GИнтеграция региона;X
zadd_cores_desc;Модификаторы §RНациональная интеграция в процессе§b и §WНационализация§b будут добавлены для страны и выбранного региона. Когда §RНациональная интеграция в процессе§b закончится, регионы страны с модификатором §WНационализация§b станут национальными, а нац. претензии всех остальных стран будут удалены. §WНационализация§b будет прервана, если регион будет оккупирован или передан другой стране до того, как §RНационализация§b закончится.;X
zprovince_migration_title;§GПривлечение миграции;X
diplomatic_cores;Национальная интеграция в процессе;X
zprovince_migration_desc;Дает большой бонус к миграции в целевое состояние. Это решение не увеличивает вероятность иммиграции из других стран, оно лишь перенаправляет их в выбранную провинцию. Если в провинции уровень безработицы на ДП превышает 5%, то модификатор перестанет работать в этой провинции.;X
zprovince_migration_new_world_title;§GПривлечение миграции;X
zprovince_migration_new_world_desc;Дает большой бонус к миграции в целевое состояние. Это решение не увеличивает вероятность иммиграции из других стран, оно лишь перенаправляет их в выбранную провинцию. Если в провинции уровень безработицы на ДП превышает 5%, то модификатор перестанет работать в этой провинции.;X
zstate_colonial_policy_title;§GИзменить колониальную политику;X
colonial_migration;Колониальная миграция;X
province_selector;Выбор провинции;X
university;Университет;X
farmland;Расширение фермы;X
mines;Расширение шахты;X
government_mobilization;Правительственная мобилизация;X
humanistic_psychology;Гуманизм;X
modern_power_generation;Современная электростанция;X
mechanized_manufacturing;Механизированное производство;X
modern_metallurgy;Современная металлургия;X
modern_infrastructure;Современная инфраструктура;X
modern_chemistry;Современная химия;X
anti__rationalism;Анти-рационализм;X
time_saving_measures;Экономия времени;X
time_saving_measures_desc;Средства для экономии времени;X
SATELLITE_OF_NOCOLOR;Сателлит;X
SUBSTATE_OF_NOCOLOR;Провинция;X
cuirassier;Лёгкая Артиллерия;X
cuirassier_activation;Лёгкая Артиллерия;X
commerce_raiders;Рейдеры;X
commerce_raiders_desc;Торпедный катер - это относительно небольшой и быстроходный военный корабль, предназначенный для доставки торпед в бой. Они были созданы для противодействия линкорам и другим тихоходным и тяжеловооруженным кораблям, используя скорость, маневренность и мощь своего торпедного оружия.;X
monitor;Подводная Лодка §B(Лёгкий Корабль);X
monitor_short;SS;X
clipper_transport;Транспортный Клипер §R(Тяжёлый Корабль);X
steam_transport;Транспортный Пароход §R(Тяжёлый Корабль);X
frigate;Фрегат §B(Лёгкий Корабль);X
manowar;Мановар §R(Тяжёлый Корабль);X
commerce_raider;Рейдер §B(Лёгкий Корабль);X
ironclad;Броненосец §R(Тяжёлый Корабль);X
cruiser;Крейсер §B(Лёгкий Корабль);X
battleship;Линкор §R(Тяжёлый Корабль);X
dreadnought;Дредноут §R(Тяжёлый Корабль);X
carrier;Авианосец §R(Тяжёлый Корабль);X
MILITARY_BUILD_NAVY_LABEL;§YТорпедная атака§W наносит урон только §RТяжёлым§W и не наносит §hЛёгким§W;X
no_personality;§W0 Защита;X
no_background;§W0 Атака;X
attack_1.1;+1 Атака;X
attack_1.2;+1 Атака;X
attack_1.3;+1 Атака;X
attack_1.4;+1 Атака;X
attack_1.5;+1 Атака;X
attack_1.6;+1 Атака;X
attack_1.7;+1 Атака;X
attack_1.8;+1 Атака;X
attack_1.9;+1 Атака;X
attack_1.10;+1 Атака;X
attack_1.11;+1 Атака;X
attack_1.12;+1 Атака;X
attack_1.13;+1 Атака;X
attack_1.14;+1 Атака;X
attack_1.15;+1 Атака;X
attack_1.16;+1 Атака;X
attack_1.17;+1 Атака;X
attack_1.18;+1 Атака;X
attack_1.19;+1 Атака;X
attack_1.20;+1 Атака;X
attack_1.21;+1 Атака;X
attack_1.22;+1 Атака;X
attack_1.23;+1 Атака;X
attack_1.24;+1 Атака;X
attack_1.25;+1 Атака;X
attack_1.26;+1 Атака;X
attack_1.27;+1 Атака;X
attack_1.28;+1 Атака;X
attack_1.29;+1 Атака;X
attack_1.30;+1 Атака;X
attack_1.31;+1 Атака;X
attack_1.32;+1 Атака;X
attack_1.33;+1 Атака;X
attack_1.34;+1 Атака;X
attack_1.35;+1 Атака;X
attack_1.36;+1 Атака;X
attack_1.37;+1 Атака;X
attack_1.38;+1 Атака;X
attack_1.39;+1 Атака;X
attack_1.40;+1 Атака;X
attack_1.41;+1 Атака;X
attack_1.42;+1 Атака;X
attack_1.43;+1 Атака;X
attack_1.44;+1 Атака;X
attack_1.45;+1 Атака;X
attack_1.46;+1 Атака;X
attack_1.47;+1 Атака;X
attack_1.48;+1 Атака;X
attack_1.49;+1 Атака;X
attack_1.50;+1 Атака;X
attack_1.51;+1 Атака;X
attack_1.52;+1 Атака;X
attack_1.53;+1 Атака;X
attack_1.54;+1 Атака;X
attack_1.55;+1 Атака;X
attack_1.56;+1 Атака;X
attack_1.57;+1 Атака;X
attack_1.58;+1 Атака;X
attack_1.59;+1 Атака;X
attack_1.60;+1 Атака;X
attack_1.61;+1 Атака;X
attack_1.62;+1 Атака;X
attack_1.63;+1 Атака;X
attack_1.64;+1 Атака;X
attack_1.65;+1 Атака;X
attack_1.66;+1 Атака;X
attack_1.67;+1 Атака;X
attack_1.68;+1 Атака;X
attack_1.69;+1 Атака;X
attack_1.70;+1 Атака;X
attack_1.71;+1 Атака;X
attack_1.72;+1 Атака;X
attack_1.73;+1 Атака;X
attack_1.74;+1 Атака;X
attack_1.75;+1 Атака;X
attack_1.76;+1 Атака;X
attack_1.77;+1 Атака;X
attack_1.78;+1 Атака;X
attack_1.79;+1 Атака;X
attack_1.80;+1 Атака;X
attack_1.81;+1 Атака;X
attack_1.82;+1 Атака;X
attack_1.83;+1 Атака;X
attack_1.84;+1 Атака;X
attack_1.85;+1 Атака;X
attack_1.86;+1 Атака;X
attack_1.87;+1 Атака;X
attack_1.88;+1 Атака;X
attack_1.89;+1 Атака;X
attack_1.90;+1 Атака;X
attack_1.91;+1 Атака;X
attack_1.92;+1 Атака;X
attack_1.93;+1 Атака;X
attack_1.94;+1 Атака;X
attack_1.95;+1 Атака;X
attack_1.96;+1 Атака;X
attack_1.97;+1 Атака;X
attack_1.98;+1 Атака;X
attack_1.99;+1 Атака;X
attack_1.100;+1 Атака;X
attack_1.101;+1 Атака;X
attack_1.102;+1 Атака;X
attack_1.103;+1 Атака;X
attack_1.104;+1 Атака;X
attack_1.105;+1 Атака;X
attack_1.106;+1 Атака;X
attack_1.107;+1 Атака;X
attack_1.108;+1 Атака;X
attack_1.109;+1 Атака;X
attack_1.110;+1 Атака;X
attack_1.111;+1 Атака;X
attack_1.112;+1 Атака;X
attack_1.113;+1 Атака;X
attack_1.114;+1 Атака;X
attack_1.115;+1 Атака;X
attack_1.116;+1 Атака;X
attack_1.117;+1 Атака;X
attack_1.118;+1 Атака;X
attack_1.119;+1 Атака;X
attack_1.120;+1 Атака;X
attack_1.121;+1 Атака;X
attack_1.122;+1 Атака;X
attack_1.123;+1 Атака;X
attack_1.124;+1 Атака;X
attack_1.125;+1 Атака;X
attack_1.126;+1 Атака;X
attack_1.127;+1 Атака;X
attack_1.128;+1 Атака;X
attack_1.129;+1 Атака;X
attack_1.130;+1 Атака;X
attack_1.131;+1 Атака;X
attack_1.132;+1 Атака;X
attack_1.133;+1 Атака;X
attack_1.134;+1 Атака;X
attack_1.135;+1 Атака;X
attack_1.136;+1 Атака;X
attack_1.137;+1 Атака;X
attack_1.138;+1 Атака;X
attack_1.139;+1 Атака;X
attack_1.140;+1 Атака;X
attack_1.141;+1 Атака;X
attack_1.142;+1 Атака;X
attack_1.143;+1 Атака;X
attack_1.144;+1 Атака;X
attack_1.145;+1 Атака;X
attack_1.146;+1 Атака;X
attack_1.147;+1 Атака;X
attack_1.148;+1 Атака;X
attack_1.149;+1 Атака;X
attack_1.150;+1 Атака;X
attack_2.1;§B+2 Атака;X
attack_2.2;§B+2 Атака;X
attack_2.3;§B+2 Атака;X
attack_2.4;§B+2 Атака;X
attack_2.5;§B+2 Атака;X
attack_2.6;§B+2 Атака;X
attack_2.7;§B+2 Атака;X
attack_2.8;§B+2 Атака;X
attack_2.9;§B+2 Атака;X
attack_2.10;§B+2 Атака;X
attack_2.11;§B+2 Атака;X
attack_2.12;§B+2 Атака;X
attack_2.13;§B+2 Атака;X
attack_2.14;§B+2 Атака;X
attack_2.15;§B+2 Атака;X
attack_2.16;§B+2 Атака;X
attack_2.17;§B+2 Атака;X
attack_2.18;§B+2 Атака;X
attack_2.19;§B+2 Атака;X
attack_2.20;§B+2 Атака;X
attack_2.21;§B+2 Атака;X
attack_2.22;§B+2 Атака;X
attack_2.23;§B+2 Атака;X
attack_2.24;§B+2 Атака;X
attack_2.25;§B+2 Атака;X
attack_2.26;§B+2 Атака;X
attack_2.27;§B+2 Атака;X
attack_2.28;§B+2 Атака;X
attack_2.29;§B+2 Атака;X
attack_2.30;§B+2 Атака;X
attack_2.31;§B+2 Атака;X
attack_2.32;§B+2 Атака;X
attack_2.33;§B+2 Атака;X
attack_2.34;§B+2 Атака;X
attack_2.35;§B+2 Атака;X
attack_2.36;§B+2 Атака;X
attack_2.37;§B+2 Атака;X
attack_2.38;§B+2 Атака;X
attack_2.39;§B+2 Атака;X
attack_2.40;§B+2 Атака;X
attack_2.41;§B+2 Атака;X
attack_2.42;§B+2 Атака;X
attack_2.43;§B+2 Атака;X
attack_2.44;§B+2 Атака;X
attack_2.45;§B+2 Атака;X
attack_2.46;§B+2 Атака;X
attack_2.47;§B+2 Атака;X
attack_2.48;§B+2 Атака;X
attack_2.49;§B+2 Атака;X
attack_2.50;§B+2 Атака;X
attack_2.51;§B+2 Атака;X
attack_2.52;§B+2 Атака;X
attack_2.53;§B+2 Атака;X
attack_2.54;§B+2 Атака;X
attack_2.55;§B+2 Атака;X
attack_2.56;§B+2 Атака;X
attack_2.57;§B+2 Атака;X
attack_2.58;§B+2 Атака;X
attack_2.59;§B+2 Атака;X
attack_2.60;§B+2 Атака;X
attack_2.61;§B+2 Атака;X
attack_2.62;§B+2 Атака;X
attack_2.63;§B+2 Атака;X
attack_2.64;§B+2 Атака;X
attack_2.65;§B+2 Атака;X
attack_2.66;§B+2 Атака;X
attack_2.67;§B+2 Атака;X
attack_2.68;§B+2 Атака;X
attack_2.69;§B+2 Атака;X
attack_2.70;§B+2 Атака;X
attack_2.71;§B+2 Атака;X
attack_2.72;§B+2 Атака;X
attack_2.73;§B+2 Атака;X
attack_2.74;§B+2 Атака;X
attack_2.75;§B+2 Атака;X
attack_2.76;§B+2 Атака;X
attack_2.77;§B+2 Атака;X
attack_2.78;§B+2 Атака;X
attack_2.79;§B+2 Атака;X
attack_2.80;§B+2 Атака;X
attack_2.81;§B+2 Атака;X
attack_2.82;§B+2 Атака;X
attack_2.83;§B+2 Атака;X
attack_2.84;§B+2 Атака;X
attack_2.85;§B+2 Атака;X
attack_2.86;§B+2 Атака;X
attack_2.87;§B+2 Атака;X
attack_2.88;§B+2 Атака;X
attack_2.89;§B+2 Атака;X
attack_2.90;§B+2 Атака;X
attack_2.91;§B+2 Атака;X
attack_2.92;§B+2 Атака;X
attack_2.93;§B+2 Атака;X
attack_2.94;§B+2 Атака;X
attack_2.95;§B+2 Атака;X
attack_2.96;§B+2 Атака;X
attack_2.97;§B+2 Атака;X
attack_2.98;§B+2 Атака;X
attack_2.99;§B+2 Атака;X
attack_2.100;§B+2 Атака;X
attack_3.1;§G+3 Атака;X
attack_3.2;§G+3 Атака;X
attack_3.3;§G+3 Атака;X
attack_3.4;§G+3 Атака;X
attack_3.5;§G+3 Атака;X
attack_3.6;§G+3 Атака;X
attack_3.7;§G+3 Атака;X
attack_3.8;§G+3 Атака;X
attack_3.9;§G+3 Атака;X
attack_3.10;§G+3 Атака;X
attack_3.11;§G+3 Атака;X
attack_3.12;§G+3 Атака;X
attack_3.13;§G+3 Атака;X
attack_3.14;§G+3 Атака;X
attack_3.15;§G+3 Атака;X
attack_3.16;§G+3 Атака;X
attack_3.17;§G+3 Атака;X
attack_3.18;§G+3 Атака;X
attack_3.19;§G+3 Атака;X
attack_3.20;§G+3 Атака;X
attack_4.1;§R+4 Атака;X
attack_4.2;§R+4 Атака;X
attack_4.3;§R+4 Атака;X
attack_4.4;§R+4 Атака;X
attack_5.1;§W+5 Атака;X
defence_1.1;+1 Защита;X
defence_1.2;+1 Защита;X
defence_1.3;+1 Защита;X
defence_1.4;+1 Защита;X
defence_1.5;+1 Защита;X
defence_1.6;+1 Защита;X
defence_1.7;+1 Защита;X
defence_1.8;+1 Защита;X
defence_1.9;+1 Защита;X
defence_1.10;+1 Защита;X
defence_1.11;+1 Защита;X
defence_1.12;+1 Защита;X
defence_1.13;+1 Защита;X
defence_1.14;+1 Защита;X
defence_1.15;+1 Защита;X
defence_1.16;+1 Защита;X
defence_1.17;+1 Защита;X
defence_1.18;+1 Защита;X
defence_1.19;+1 Защита;X
defence_1.20;+1 Защита;X
defence_1.21;+1 Защита;X
defence_1.22;+1 Защита;X
defence_1.23;+1 Защита;X
defence_1.24;+1 Защита;X
defence_1.25;+1 Защита;X
defence_1.26;+1 Защита;X
defence_1.27;+1 Защита;X
defence_1.28;+1 Защита;X
defence_1.29;+1 Защита;X
defence_1.30;+1 Защита;X
defence_1.31;+1 Защита;X
defence_1.32;+1 Защита;X
defence_1.33;+1 Защита;X
defence_1.34;+1 Защита;X
defence_1.35;+1 Защита;X
defence_1.36;+1 Защита;X
defence_1.37;+1 Защита;X
defence_1.38;+1 Защита;X
defence_1.39;+1 Защита;X
defence_1.40;+1 Защита;X
defence_1.41;+1 Защита;X
defence_1.42;+1 Защита;X
defence_1.43;+1 Защита;X
defence_1.44;+1 Защита;X
defence_1.45;+1 Защита;X
defence_1.46;+1 Защита;X
defence_1.47;+1 Защита;X
defence_1.48;+1 Защита;X
defence_1.49;+1 Защита;X
defence_1.50;+1 Защита;X
defence_1.51;+1 Защита;X
defence_1.52;+1 Защита;X
defence_1.53;+1 Защита;X
defence_1.54;+1 Защита;X
defence_1.55;+1 Защита;X
defence_1.56;+1 Защита;X
defence_1.57;+1 Защита;X
defence_1.58;+1 Защита;X
defence_1.59;+1 Защита;X
defence_1.60;+1 Защита;X
defence_1.61;+1 Защита;X
defence_1.62;+1 Защита;X
defence_1.63;+1 Защита;X
defence_1.64;+1 Защита;X
defence_1.65;+1 Защита;X
defence_1.66;+1 Защита;X
defence_1.67;+1 Защита;X
defence_1.68;+1 Защита;X
defence_1.69;+1 Защита;X
defence_1.70;+1 Защита;X
defence_1.71;+1 Защита;X
defence_1.72;+1 Защита;X
defence_1.73;+1 Защита;X
defence_1.74;+1 Защита;X
defence_1.75;+1 Защита;X
defence_1.76;+1 Защита;X
defence_1.77;+1 Защита;X
defence_1.78;+1 Защита;X
defence_1.79;+1 Защита;X
defence_1.80;+1 Защита;X
defence_1.81;+1 Защита;X
defence_1.82;+1 Защита;X
defence_1.83;+1 Защита;X
defence_1.84;+1 Защита;X
defence_1.85;+1 Защита;X
defence_1.86;+1 Защита;X
defence_1.87;+1 Защита;X
defence_1.88;+1 Защита;X
defence_1.89;+1 Защита;X
defence_1.90;+1 Защита;X
defence_1.91;+1 Защита;X
defence_1.92;+1 Защита;X
defence_1.93;+1 Защита;X
defence_1.94;+1 Защита;X
defence_1.95;+1 Защита;X
defence_1.96;+1 Защита;X
defence_1.97;+1 Защита;X
defence_1.98;+1 Защита;X
defence_1.99;+1 Защита;X
defence_1.100;+1 Защита;X
defence_1.101;+1 Защита;X
defence_1.102;+1 Защита;X
defence_1.103;+1 Защита;X
defence_1.104;+1 Защита;X
defence_1.105;+1 Защита;X
defence_1.106;+1 Защита;X
defence_1.107;+1 Защита;X
defence_1.108;+1 Защита;X
defence_1.109;+1 Защита;X
defence_1.110;+1 Защита;X
defence_1.111;+1 Защита;X
defence_1.112;+1 Защита;X
defence_1.113;+1 Защита;X
defence_1.114;+1 Защита;X
defence_1.115;+1 Защита;X
defence_1.116;+1 Защита;X
defence_1.117;+1 Защита;X
defence_1.118;+1 Защита;X
defence_1.119;+1 Защита;X
defence_1.120;+1 Защита;X
defence_1.121;+1 Защита;X
defence_1.122;+1 Защита;X
defence_1.123;+1 Защита;X
defence_1.124;+1 Защита;X
defence_1.125;+1 Защита;X
defence_1.126;+1 Защита;X
defence_1.127;+1 Защита;X
defence_1.128;+1 Защита;X
defence_1.129;+1 Защита;X
defence_1.130;+1 Защита;X
defence_1.131;+1 Защита;X
defence_1.132;+1 Защита;X
defence_1.133;+1 Защита;X
defence_1.134;+1 Защита;X
defence_1.135;+1 Защита;X
defence_1.136;+1 Защита;X
defence_1.137;+1 Защита;X
defence_1.138;+1 Защита;X
defence_1.139;+1 Защита;X
defence_1.140;+1 Защита;X
defence_1.141;+1 Защита;X
defence_1.142;+1 Защита;X
defence_1.143;+1 Защита;X
defence_1.144;+1 Защита;X
defence_1.145;+1 Защита;X
defence_1.146;+1 Защита;X
defence_1.147;+1 Защита;X
defence_1.148;+1 Защита;X
defence_1.149;+1 Защита;X
defence_2.1;§B+2 Защита;X
defence_2.2;§B+2 Защита;X
defence_2.3;§B+2 Защита;X
defence_2.4;§B+2 Защита;X
defence_2.5;§B+2 Защита;X
defence_2.6;§B+2 Защита;X
defence_2.7;§B+2 Защита;X
defence_2.8;§B+2 Защита;X
defence_2.9;§B+2 Защита;X
defence_2.10;§B+2 Защита;X
defence_2.11;§B+2 Защита;X
defence_2.12;§B+2 Защита;X
defence_2.13;§B+2 Защита;X
defence_2.14;§B+2 Защита;X
defence_2.15;§B+2 Защита;X
defence_2.16;§B+2 Защита;X
defence_2.17;§B+2 Защита;X
defence_2.18;§B+2 Защита;X
defence_2.19;§B+2 Защита;X
defence_2.20;§B+2 Защита;X
defence_2.21;§B+2 Защита;X
defence_2.22;§B+2 Защита;X
defence_2.23;§B+2 Защита;X
defence_2.24;§B+2 Защита;X
defence_2.25;§B+2 Защита;X
defence_2.26;§B+2 Защита;X
defence_2.27;§B+2 Защита;X
defence_2.28;§B+2 Защита;X
defence_2.29;§B+2 Защита;X
defence_2.30;§B+2 Защита;X
defence_2.31;§B+2 Защита;X
defence_2.32;§B+2 Защита;X
defence_2.33;§B+2 Защита;X
defence_2.34;§B+2 Защита;X
defence_2.35;§B+2 Защита;X
defence_2.36;§B+2 Защита;X
defence_2.37;§B+2 Защита;X
defence_2.38;§B+2 Защита;X
defence_2.39;§B+2 Защита;X
defence_2.40;§B+2 Защита;X
defence_2.41;§B+2 Защита;X
defence_2.42;§B+2 Защита;X
defence_2.43;§B+2 Защита;X
defence_2.44;§B+2 Защита;X
defence_2.45;§B+2 Защита;X
defence_2.46;§B+2 Защита;X
defence_2.47;§B+2 Защита;X
defence_2.48;§B+2 Защита;X
defence_2.49;§B+2 Защита;X
defence_2.50;§B+2 Защита;X
defence_2.51;§B+2 Защита;X
defence_2.52;§B+2 Защита;X
defence_2.53;§B+2 Защита;X
defence_2.54;§B+2 Защита;X
defence_2.55;§B+2 Защита;X
defence_2.56;§B+2 Защита;X
defence_2.57;§B+2 Защита;X
defence_2.58;§B+2 Защита;X
defence_2.59;§B+2 Защита;X
defence_2.60;§B+2 Защита;X
defence_2.61;§B+2 Защита;X
defence_2.62;§B+2 Защита;X
defence_2.63;§B+2 Защита;X
defence_2.64;§B+2 Защита;X
defence_2.65;§B+2 Защита;X
defence_2.66;§B+2 Защита;X
defence_2.67;§B+2 Защита;X
defence_2.68;§B+2 Защита;X
defence_2.69;§B+2 Защита;X
defence_2.70;§B+2 Защита;X
defence_2.71;§B+2 Защита;X
defence_2.72;§B+2 Защита;X
defence_2.73;§B+2 Защита;X
defence_2.74;§B+2 Защита;X
defence_2.75;§B+2 Защита;X
defence_2.76;§B+2 Защита;X
defence_2.77;§B+2 Защита;X
defence_2.78;§B+2 Защита;X
defence_2.79;§B+2 Защита;X
defence_2.80;§B+2 Защита;X
defence_2.81;§B+2 Защита;X
defence_2.82;§B+2 Защита;X
defence_2.83;§B+2 Защита;X
defence_2.84;§B+2 Защита;X
defence_2.85;§B+2 Защита;X
defence_2.86;§B+2 Защита;X
defence_2.87;§B+2 Защита;X
defence_2.88;§B+2 Защита;X
defence_2.89;§B+2 Защита;X
defence_2.90;§B+2 Защита;X
defence_2.91;§B+2 Защита;X
defence_2.92;§B+2 Защита;X
defence_2.93;§B+2 Защита;X
defence_2.94;§B+2 Защита;X
defence_2.95;§B+2 Защита;X
defence_2.96;§B+2 Защита;X
defence_2.97;§B+2 Защита;X
defence_2.98;§B+2 Защита;X
defence_2.99;§B+2 Защита;X
defence_2.100;§B+2 Защита;X
defence_3.1;§G+3 Защита;X
defence_3.2;§G+3 Защита;X
defence_3.3;§G+3 Защита;X
defence_3.4;§G+3 Защита;X
defence_3.5;§G+3 Защита;X
defence_3.6;§G+3 Защита;X
defence_3.7;§G+3 Защита;X
defence_3.8;§G+3 Защита;X
defence_3.9;§G+3 Защита;X
defence_3.10;§G+3 Защита;X
defence_3.11;§G+3 Защита;X
defence_3.12;§G+3 Защита;X
defence_3.13;§G+3 Защита;X
defence_3.14;§G+3 Защита;X
defence_3.15;§G+3 Защита;X
defence_3.16;§G+3 Защита;X
defence_3.17;§G+3 Защита;X
defence_3.18;§G+3 Защита;X
defence_3.19;§G+3 Защита;X
defence_3.20;§G+3 Защита;X
defence_4.1;§R+4 Защита;X
defence_4.2;§R+4 Защита;X
defence_4.3;§R+4 Защита;X
defence_4.4;§R+4 Защита;X
defence_5.1;§W+5 Защита;X